BUKU,BAB,PASAL,ISI_PASAL,SUB_KLASIFIKASI
,BAB XIV,Pasal 283,"(1)  Diancam dengan pidana penjara paling lama sembilan bulan atau pidana denda paling banyak sembilan ribu rupiah, barang siapa menawarkan, memberikan untuk terus maupun untuk sementara waktu, menyerahkan atau memperlihatkan tulisan, gamb aran atau benda yang melanggar kesusilaan, maupun alat untuk menc egah atau mengguguzkan kehamilan kepada seorang yang belum dewasa, dan yang diketahui atau sepatutnya harus diduga bahwa umumya belum tujuh belas tahun, jika isi tulisan, gambaran, benda atau alat itu telah diketahuinya. (2)  Diancam dengan pidana yang sama, ba rang siapa membacakan isi tulisan yang melanggar kesusilaan di muka oranng yang belum dewasa sebagaimana dimaksud dalam ayat yang lalu, jika isi tadi telah diketahuinya. (3)  Diancam dengan pidana penjara pali ng lama empat bulan atau pidana kurungan paling lama tiga bulan atau pidana denda paling banyak Biro Hukum dan Humas Badan Urusan Administrasi Mahkamah Agung-RI /g3/g3  sembilan ribu rupiah, barang siapa menawarkan, memberikan untuk terus maupun untuk sementara waktu, menyerahkan atau memperlihatkan, tulis- an, gambaran atau benda yang melanggar kesusilaan, maupun alat untuk mencegah atau menggugurkan kehamilan kepada seorang yang belum dewasa sebagaimana dimaksud dalam ayat pertama, jika ada alasan kuat baginya untuk menduga, bahwa tu lisan, gambaran atau benda yang melang- gar kesusilaan atau alat itu adalah alat untuk mencegah atau menggugurkan kehamilan.",kejahatan terhadap kesusilaan
,BAB XIV,Pasal 283 bis,"Jika yang bersalah melykukan salah sa tu kejahatan tersebut dalam pasal 282 dan 283 dalam menjalankan pencariannya dan ketika itu belum lampau dua tahun sejak adanya pemidanaan yang menjadi pasti karena kejahatan semacam itu juga, maka dapat di cabut haknya untuk menjalankan pencarian tersebut.",tidak-diketahui
,BAB XIV,Pasal 284,"(1)  Diancam dengan pidana penjara paling lama sembilan bulan: l. a. seorang pria yang telah kawi n yang melakukan gendak (overspel), padahal diketahui bahwa pasal 27 BW berlaku baginya, b.  seorang wanita yang telah kawin yang melakukan gendak, padahal diketahui bahwa pasal 27 BW berlaku baginya; 2. a. seorang pria yang turut serta melakukan perbuatan itu, padahal diketahuinya bahwa yang turut bersalah telah kawin; b. seorang wanita yang telah kawin yang turut serta melakukan perbuatan itu, padahal diketahui olehnya bahw a yang turut bersalah telah kawin dan pasal 27 BW berlaku baginya. (2)  Tidak dilakukan penuntutan melainkan atas pengaduan suami/istri yang tercemar, dan bilamana bagi mereka berlaku pasal 27 BW, dalam tenggang waktu tiga bulan diikuti dengan permintaan bercerai atau pisah-meja dan ranjang karena alasan itu juga. (3)  Terhadap pengaduan ini tidak be rlaku pasal 72, 73, dan 75. (4)  Pengaduan dapat ditarik kembali selama pemeriksaan dalam sidang pengadilan belum dimulai. (5)  Jika bagi suami-istri berlaku pasal 27 BW, pengaduan tidak diindahkan selama perkawinan belum diputuskan karena perceraian atau sebelum putusan yang menyatakan pisah meja dan tempat tidur menjadi tetap.",tidak-diketahui
,BAB XIV,Pasal 285,"Barang siapa dengan kekerasan atau ancaman kekerasan memaksa seorang wanita bersetubuh dengan dia di luar perkawinan, diancam karena melakukan perkosaan dengan pidana penjara paling lama dua belas tahun.",kekerasan
,BAB XIV,Pasal 286,"Biro Hukum dan Humas Badan Urusan Administrasi Mahkamah Agung-RI /g3/g3  Barang siapa bersetubuh dengan seorang wanita di luar perkawinan, padahal diketahui bahwa wanita itu dalam keadaan pingsan atau tidak berdaya, diancam dengan pidana penjara paling lama sembilan tahun.",tidak-diketahui
,BAB XIV,Pasal 287,"(1)  Barang siapa bersetubuh dengan se orang wanita di luar perkawinan, padahal diketahuinya atau sepatutnya harus diduganya bahwa umumya belum lima belas tahun, atau kalau umurnya tidak jelas, bawa belum waktunya untuk dikawin, diancam dengan pidana penjara paling lama sembilan tahun. (2)  Penuntutan hanya dilakukan atas pengaduan, kecuali jika umur wanita belum sampai dua belas tahun atau jika ada salah satu hal berdasarkan pasal 291 dan pasal 294.",tidak-diketahui
,BAB XIV,Pasal 288,"(1)  Barang siapa dalam perkawinan bers etubuh dengan seormig wanita yang diketahuinya atau sepatutnya harus didugunya bahwa yang bersangkutan belum waktunya untuk dikawin, apabila perbuatan mengakibatkan luka- luka diancam dengan pidana penjara paling lama empat tahun. (2)  Jika perbuatan mengakibatkan luka-luka berat, dijatuhkan pidana penjara paling lama delapan tahun. (3)  Jika mengakibatkan mati, dijatuhkan pidana penjara paling lama dua belas tahun.",tidak-diketahui
,BAB XIV,Pasal 289,"Barang siapa dengan kekerasan atau ancaman kekerasan memaksa seorang untuk melakukan atau membiarkan dilakukan perbuatan cabul, diancam karena melakukan perbuatan yang menyerang ke hormatan kesusilaan, dengan pidana penjara paling lama sembilan tahun.",kekerasan
,BAB XIV,Pasal 290,"Diancam dengan pidana penjara paling lama tujuh tahun: 1.  barang siapa melakukan perbuatan cabul dengan seorang, padahal diketahuinya bahwa orang itu pingsan atau tidak berdaya; 2.  barang siapa melakukan perbuatan cabul dengan seorang padahal diketahuinya atau sepatutnya harus diduganya, bahwa umumya belum lima belas tahun atau kalau umumya tidak jelas, yang bersangkutan belum waktunya untuk dikawin: 3.  barang siapa membujuk seseorang yang diketahuinya atau sepatutnya harus diduganya bahwa umurnya belum lima be las tahun atau kalau umumya tidak jelas yang bersangkutan atau kutan belum waktunya untuk dikawin, untuk melakukan atau membiarkan dilakukan perbuatan cabul, atau bersetubuh di luar perkawinan dengan orang lain.",tidak-diketahui
,BAB XIV,Pasal 291,"Biro Hukum dan Humas Badan Urusan Administrasi Mahkamah Agung-RI /g3/g3  (1)  Jika salah satu kejahatan berdasarkan pasal 286, 2 87, 289, dan 290 mengakibatkan luka-luka berat, dijatuhk an pidana penjara paling lama dua belas tahun; (2)  Jika salah satu kejahatan berdasarkan pasal 285, 2 86, 287, 289 dan 290 mengakibatkan kematisn dijatuhkan pidana penjara paling lama lima belas tahun.",tidak-diketahui
,BAB XIV,Pasal 292,"Orang dewasa yang melakukan perbuatan cabul dengan orang lain sesama kelamin, yang diketahuinya atau sepatutnya harus diduganya belum dewasa, diancam dengan pidana penjara paling lama lima tahun.",tidak-diketahui
,BAB XIV,Pasal 293,"(1)  Barang siapa dengan memberi atau menjanjikan uang atau barang, menyalahgunakan pembawa yang timb ul dari hubungan keadaan, atau dengan penyesatan sengaja menggera kkan seorang belum dewasa dan baik tingkahlakunya untuk melakukan atau membiarkan dilakukan perbuatan cabul dengan dia, padahal tentang belum kedewasaannya, diketahui atau selayaknya harus diduganya, diancam dengan pidana penjara paling lama lima tahun. (2)  Penuntutan hanya dilakukan atas pengaduan orang yang terhadap dirinya dilakukan kejahatan itu. (3)  Tenggang waktu tersebut dalam pasal 74 bagi pengaduan ini adalah masing-masing sembilan bulan dan dua belas bulan.",tidak-diketahui
,BAB XIV,Pasal 294,"(1)  Barang siapa melakukan perbuatan cabul dengm anaknya, tirinya, anak angkatnya, anak di bawah pengawanny a yang belum dewasa, atau dengan orang yang belum dewasa yang pemeliharaanya, pendidikan atau penjagaannya diannya yang belum dewasa, diancam dengan pidana penjara paling lama tujuh tahun. (2)  Diancam dengan pidana yang sama: 1.  pejabat yang melakukan perbuatan cabul dengan orang yang karena jabatan adalah bawahannya, atau dengan orang yang penjagaannya dipercayakan atau dise rahkan kepadanya, 2.  pengurus, dokter, guru, pegawai, pengawas atau pesuruh dalam penjara, tempat pekerjaan negara , tempat pen- didikan, rumah piatu, rumah sakit, rumah sakit jiwa atau lembaga sosial, yang melakukan perbuatan cabul dengan orang yang dimasukkan ke dalamnya.",pelanggaran properti
,BAB XIV,Pasal 295,"(1)  Diancam: 1.  dengan pidana penjara paling la ma lima tahun barang siapa dengan sengaja menyebabkan atau memudahkan dilakukannya perbuatan cabul Biro Hukum dan Humas Badan Urusan Administrasi Mahkamah Agung-RI /g3/g3  oleh anaknya, anak tirinya, anak angkatnya, atau anak di bawah pengawasannya yang belum dewasa, at au oleh orang yang belum dewasa yang pemeliharaannya, pendidikan atau penjagaannya diserahkan kepadanya, ataupun oleh bujangnya atau bawahannya yang belum cukup umur, dengan orang lain; 2.  dengan pidana penjara paling lama empat tahun barang siapa dengan sengaja menghubungkan atau memudahkan perbuatan cabul, kecuali yang tersebut dalam butir 1 di atas ., yang dilakukan oleh orang yang diketahuinya belum dewasa atau yang sepatutnya harus diduganya demikian, dengan orang lain. (2)  Jika yang bersalah melakukan kejahatan itu sebagai pencarian atau kebiasaan, maka pidana dapat ditam sepertiga.",pelanggaran perlindungan anak
,BAB XIV,Pasal 296,"Barang siapa dengan sengaja menyebab kan atau memudahkan bul oleh orang lain dengan orang lain, dan menjadikan nya sebagai pencarian atau kebiasaan, diancam dengan pidana penjara paling lama satu tahun empat bulan atau pidana denda paling banyak lima belas ribu rupiah.",tidak-diketahui
,BAB XIV,Pasal 297,"Perdagangan wanita dan perdagangan anak laki-laki yang belum dewasa, diancam dengan pidana penjara paling lama enam tahun.",pelanggaran perlindungan anak
,BAB XIV,Pasal 298,"(1)  Dalam hal pemidanaan berdasarkan salah satu kejahatan dalam pasal 281, 284 - 290 dan 292 - 297, pencabutan hakhak berdasarkan pasal 35 No. 1 - 5 dapat dinyatakan. (2)  Jika yang bersalah melakukan salah satu kejahatan berdasarkan pasal 292 - 297 dalam melakukan pencariannya, maka hak untuk melakukan pencarian itu dapat dicabut.",tidak-diketahui
,BAB XIV,Pasal 299,"(1)  Barang siapa dengan sengaja mengob ati seorang wanita atau menyuruh supaya diobati, dengan diberitahukan atau ditimbulkan harapan bahwa karena pengobatan itu hamilnya dapat digugurkan, diancam dengan pidana penjara paling lama empat tahun atau pidana denda paling banyak empat puluh lima ribu rupiah. (2)  Jika yang bersalah berbuat demiki an untuk mencari keu tungan, atau menjadikan perbuatan tersebut sebagai pencarian atau kebiasaan, atau jika dia seorang tabib, bidan atau juruobat, pidmmya dapat ditambah sepertiga (3)  Jika yang bersalah melakukan kejahatan tersebut dalam menjalankan pencariannya, dapat dicabut haknya unt uk menjalakukan pencarian itu. Biro Hukum dan Humas Badan Urusan Administrasi Mahkamah Agung-RI /g3/g3",pelanggaran HAM
,BAB XIV,Pasal 300,"(1)  Diancam dengan pidana penjara paling lama satu tahun atau denda paling banyak empat ribu lima ratus rupiah: 1.  barang siapa dengan sengaja me njual atau memberikan minuman yang memabukkan kepada seseorang yang telah kelihatan mabuk; Perdagangan wanita dan perdagangan anak laki-laki yang belum dewasa, diancam dengan pidana penjara paling lama enam tahun. 2.  barang siapa dengan sengaja membikin mabuk seorang anak yang umurnya belum cukup enam belas tahun; 3.  barang siapa dengan kekerasan atau ancaman kekerasan memaksa orang untuk minum minuman yang memabukan. (2)  Jika perbuatan mengakibatkan luka-l uka berat, yang bersalah diancam dengan pidana penjara paling lama tujuh tahun. (3)  Jika perbuatan mengakibatkan kemati an, yang bersalah diancam dengan pidana penjara paling lama sembilan tahun. (4)  Jika yang bersalah melakukan kejahatan tersebut dalam menjalankan pencariannya, dapat dicabut haknya untuk menjalankan pencarian itu.",kekerasan
,BAB XIV,Pasal 301,"Barang siapa memberi atau menyerahkan kepada orang lain seorang anak yang ada di bawah kekuasaainnya yang sah dan yang umumya kurang dari dua belas tahun, padahal diketahui bahwa anak itu akan dipakai untuk atau di waktu melakukan pengemisan atau untuk pekerj aan yang berbahaya, atau yang dapat merusak kesehatannya, diancam dengan pidana penjara paling lama empat tahun.",pengrusakan
,BAB XIV,Pasal 302,"(1)  Diancam dengan pidana penjara paling lama tiga bulan atau pidana denda paling banyak empat ribu lima ratus rupiah karena melakukan penganiayaan ringan terhadap hewan: 1.  barang siapa tanpa tujuan yang patut atau secara melampaui batas, dengan sengaja menyakiti atau melukai hewan atau merugikan kesehatannya; 2.  barang siapa tanpa tujuan yang patut atau dengan melampaui batas yang diperlukan untuk mencapai tu juan itu, dengan sengaja tidak memberi makanan yang diperlukan untuk hidup kepada hewan, yang seluruhnya atau sebagian menjadi kepunyaannya dan ada di bawah pengawasannya, atau kepada hewan yang wajib dipeliharanya. (2)  Jika perbuatan itu mengakibatkan sakit lebih dari seminggu, atau cacat atau menderita luka-luka berat lainnya, atau mati, yang bersalah diancam dengan pidana penjara paling lama sembilan bulan, atau pidana denda paling banyak tiga ratus rupiah, karena penganiayaan hewan. (3)  Jika hewan itu milik yang bersalah, maka hewan itu dapat dirampas. (4)  Percobaan melakukan kejahatan tersebut tidak dipidana. Biro Hukum dan Humas Badan Urusan Administrasi Mahkamah Agung-RI /g3/g3",kekerasan
,BAB XIV,Pasal 303,"(1)  Diancam dengan pidana penjara paling lama sepuluh tahun atau pidana denda paling banyak dua puluh lima juta rupiah, barang siapa tanpa mendapat izin: 1.  dengan sengaja menawarkan at au memberikan kesempatan untuk permainan judi dan menjadikannya sebagai pen- carian, atau dengan sengaja turut serta dalam su atu perusahaan untuk itu; 2.  dengan sengaja menawarkan atau memberi kesempatan kepada khalayak umum untuk bermain judi atau dengan sengaja turut serta dalam perusahaan untuk itu, dengan tidak peduli apakah untuk menggunakan kesempatan adanya sesuatu syarat atau dipenuhinya sesuatu tata-cara; 3.  menjadikan turut serta pada permainan judi sebagai pencarian (2)  Kalau yang bersalah melakukan kejahatan tersebut dalam mejalakan pencariannya, maka dapat dicabut hak nya untuk menjalankan pencarian itu. (3)  Yang disebut permainan judi adalah tiap-tiap permainan, di mana pada umumnya kemungkinan mendapat untung bergantung pada peruntungan belaka, juga karena pemainnya lebih terlatih atau lebih mahir. Di situ termasuk segala pertaruhan tentang keputusan perlombaan atau permainanlain-lainnya yang tidak diadakan antara mereka yang turut berlomba atau bermain, demikian juga segala pertaruhan lainnya.",perjudian
,BAB XV,Pasal 303 bis,"(1)  Diancam dengan pidana penjara pali ng lama empat tahun atau pidana denda paling banyak sepuluh juta rupiah:1. barang siapa menggunakan kesempatan main judi, yang diadakan dengan melanggar ketentuan Pasal 303; 2. barang siapa ikut serta main judi di jalan umum atau di pinggir jalan umum atau di tempat yang dapat dikunjungi umum, kecuali kalau ada izin dari penguasa yang berwenang yang telah memberi izin untuk mengadakan perjudian itu. (2)  Jika ketika melakukan pelanggaran belum lewat dua tahun sejak ada pemidanaan yang menjadi tetap karena salah satu dari pelanggaran ini, dapat dikenakan pidana penjara paling lama enam tahun atau pidana denda paling banyak lima belas juta rupiah.   MENINGGALKAN ORANG YANG PERLU DITOLONG",perjudian
,BAB XV,Pasal 304,"Barang siapa dengan sengaja menempatkan atau membiarkan seorang dalam keadaan sengsara, padahal menurut hukum yang berlaku baginya atau karena persetujuan dia wajib memberi kehidupan, perawatan atau pemeliharaan Biro Hukum dan Humas Badan Urusan Administrasi Mahkamah Agung-RI /g3/g3  kepada orang itu, diancam dengan pidana penjara paling lama dua tahun delapan bulan atau pidana denda paling banyak empat ribu lima ratus rupiah.",tidak-diketahui
,BAB XV,Pasal 305,"Barang siapa menempatkan anak yang umurnya belum tujuh tahun untuk ditemukan atau meninggalkan anak itu dengan maksud untuk melepaskan diri daripadanya, diancam dengan pidana penjara paling lama lima tahun enam bulan.",pelanggaran perlindungan anak
,BAB XV,Pasal 306,"(1) Jika salah satu perbuatan berdasarkan pasal 304 dan 305 mengakibatkan luka-luka berat, yang bersalah diancamdengan pidana penjara paling lama tujuh tahun enam bulan. (2) Jika mengakibatkan kematian pidana penjara paling lama sembilan tahun.",tidak-diketahui
,BAB XV,Pasal 307,"Jika yang melakukan kejahatan berdasar kan pasal 305 adalah bapak atau ibu dari anak itu, maka pidana yang ditentukan dalam pasal 305 dan 306 dapat ditambah dengan sepertiga.",pelanggaran perlindungan anak
,BAB XV,Pasal 308,"Jika seorang ibu karena takut akan diketahui orm t t lahiran anaknya, tidak lama sesudah melharkan, menempat kan anaknya untuk ditemukan atau meninggalkannya dengan maksud untuk melepaskan diri daripadanya, maka maksimum pidana tersebut dalam pa sal 305 dan 306 dikurangi separuh.",pelanggaran perlindungan anak
,BAB XVI,Pasal 309,"Dalam hal pemidanaan berdasarkan salah satu kejahatan dalam pasal 304 - 308, maka hak-hak tersebut dalam pa sal 35 No. 4 dapat dicabut.   PENGHINAAN",penghinaan
,BAB XVI,Pasal 310,"(1) Barang siapa sengaja menyerang ke hormatan atau nama baik seseorang dengan menuduhkan sesuatu hal, yang maksudnya terang supaya hal itu diketahui umum, diancam karena pencemaran dengan pidana penjara paling lama sembilan bulan atau pidana denda paling banyak empat ribu lima ratus rupiah. (2) Jika hal itu dilakukan dengan tulisan atau gambaran yang disiarkan, dipertunjukkan atau ditempelkan di muka umum, maka diancam karena pencemaran tertulis dengan pidana penjara paling lama satu tahun empat bulan atau pidana denda paling banyak empat ribu lima ratus rupiah. Biro Hukum dan Humas Badan Urusan Administrasi Mahkamah Agung-RI /g3/g3  (3) Tidak merupakan pencemaran atau pencemaran tertulis, jika perbuatan jelas dilakukan demi kepentingan umum atau karena terpaksa untuk membela diri.",perusakan lingkungan
,BAB XVI,Pasal 311,"(1) Jika yang melakukan kejahatan pencemaran atau pencemaran tertulis dibolehkan untuk membuktikan apa yang dituduhkan itu benar, tidak membuktikannya, dan tuduhan dilakukan bertentangan dengan apa yang diketahui, maka dia diancam melakukan fitnah dengan pidana penjara paling lama empat tahun. (2) Pencabutan hak-hak berdasarkan pa sal 35 No. 1 - 3 dapat dijatuhkan.",perusakan lingkungan
,BAB XVI,Pasal 312,"Pembuktian akan kebenaran tuduhan hany a dibolehkan dalam hal-hal berikut: 1.  apabila hakim memandang perlu untuk memeriksa kebenaran itu guna menimbang keterangan terdakwa, bahwa perbuatan dilakukan demi kepentingan umum, atau karena terpaksa untuk membela diri; 2.  apabila seorang pejaba t dituduh sesuatu hal dalam menjalankan tugasnya.",tidak-diketahui
,BAB XVI,Pasal 313,"Pembuktian yang dimaksud dalam pasa l 312 tidak dibolehkan, jika hal yang dituduhkan hanya dapat dituntut at as pengaduan dan pengaduan tidak dimajukan.",tidak-diketahui
,BAB XVI,Pasal 314,"(1)  Jika yang dihina, dengan putusan ha kim yang menjadi tetap, dinyatakan bersalah atas hal yang dituduhkan, maka pemidanaan karena fitnah tidak mungkin. (2)  Jika dia dengan putusan hakim yang menjadi tetap dibebaskan dari hal yang dituduhkan, maka putusan itu dipandang sebagai bukti sempurna bahwa hal yang dituduhkan tidak benar. (3)  Jika terhadap yang dihina telah dimulai penuntutan pidana karena hal yang dituduhkan padanya, maka penuntutan karena fitnah dihentikan sampai mendapat putusan yang menjadi tetap tentang hal yang dituduhkan.",penghinaan
,BAB XVI,Pasal 315,"Tiap-tiap penghinaan dengan sengaja ya ng tidak bersifat peneemaran atau pencemaran tertulis yang dilakuknn terhadap seseorang, baik di muka umum dengan lisan atau tulisan, maupun di muka orang itu sendiri dengan lisan atau perbuatan, atau dengan surat yang dikirimkan stau diterimakan kepadanya, diancam karena penghinaan ringan dengan pidana penjara paling lama empat bulan dua minggu atau pidana denda paling banyak empat ribu lima ratus rupiah.  Biro Hukum dan Humas Badan Urusan Administrasi Mahkamah Agung-RI /g3/g3",penghinaan
,BAB XVI,Pasal 316,"Pidana yang ditentukan dalam pasal-pasal sebelumnya dalam bab ini, dspat ditambah dengan sepertiga jika yang dihina adalah seorang pejabat pada waktu atau karena menjalankan tugasnya yang sah.",penghinaan
,BAB XVI,Pasal 317,"(1)  Barang siapa dengan sengaja mengaj ukan pengaduan atau pemberitahuan palsu kepada penguasa, baik secara tertulis maupun untuk dituliskan, tentang seseorang sehingga kehormatan atau nama baiknya terserang, diancam karena melakukan pengaduan fitnah, dengan pidana penjara paling lama empat tahun, (2)  Pencabutan hak-hak berdasarkan pasa l 35 No, 1 - 3 dapat dijatuhkan.",pencemaran nama baik
,BAB XVI,Pasal 318,"(1) Barang siapa dengan sesuatu perbua tan sengaja menimbulkan secara palsu persangkaan terhadap seseorang ba hwa dia melakukan suatu perbuatan pidana, diancam karena menimbulkan persangkaan palsu, dengan pidana penjara paling lama empat tahun. (2) Pencabutan hak-hak berdasarkan pa sal 35 No. 1 - 3 dapat dijatuhkan.",tidak-diketahui
,BAB XVI,Pasal 319,"Penghinaan yang diancam dengan pidana menurut bab ini, tidak dituntut jika tidak ada pengaduan dari orang yang terkena kejahatan itu, kecuali berdasarkan pasal 316.",penghinaan
,BAB XVI,Pasal 320,"(1)  Barang siapa terhadap seseorang yang sudah mati melakukan perbuatan yang kalau orang itu masih hidup akan merupakan pencemaran atau pencemaran tertulis, diancam dengan pidana penjara paling lama empat bulan dua minggu atau pidana denda paling banyak empat ribu lima ratus rupiah. (2)  Kejahatan ini tidak dituntut kalau tidak ada pengaduan dari salah seorang keluarga sedarah maupun semenda dalam garis lurus atau menyimpang sampai derajat kedua dari yang mati itu, atau atas pengaduan suami (istri)nya. (3)  Jika karena lembaga matriarkal kekuas aan bapak dilakukan oleh orang lain daripada bapak, maka kejahatan juga dapat dituntut atas pengaduan orang itu.",perusakan lingkungan
,Bab XVII,Pasal 321,"(1)  Barang siapa menyiarkan, mempertunjukkan atau menempelkan di muka umum tulisan atau gambaran yang isinya menghina atau bagi orang ymg sudah mati mencemarkan namanya, dengan maksud supaya isi surat atau gambar itu ditahui atau lehih diketahui oleh umum, diancam dengan Biro Hukum dan Humas Badan Urusan Administrasi Mahkamah Agung-RI /g3/g3  pidana penjara paling lama satu hulan dua minggu atau pidana denda paling banyak empat ribu lima ratus rupiah. (2)  Jika Yang bersalah rnelakukan keja hat.an tersehut dalam menjalankan pencariannya, sedangkan ketika itu belum lampau dua tahun sejak adanya pemidanaan yang menjadi tetap karena kejahatan semacam itu juga, maka dapat. dicabut haknya untuk menjalankan pencarian tersehut. (3)  Kejahatan ini tidak dituntut kalau tidak ada pengaduan dari orang yang ditunjuk dalam pasal 319 dan pasal 320, ayat kedua dan ketiga.   MEMBUKA RAHASIA",penghinaan
,Bab XVII,Pasal 322,"(1)  Barang siapa dengan sengaja membuk a rahasia yang wajib disimpannya karena jabatan atau pencariannya, baik yang sekarang maupun yang dahulu, diancam dengan pidana penjara paling lama sembilan bulan atau pidana denda paling banyak sembilan ribu rupiah. (2)  Jika kejahatan dilakukan terhadap seorang tertentu, maka perbuatan itu hanya dapat dituntut atas pengaduan orang itu.",tidak-diketahui
,Bab XVIII,Pasal 323,"(1)  Barang siapa dengan sengaja memberitahukan hal-hal khusus tentang suatu perusahaan dagang, kerajinan atau pertanian, di mana ia bekerja atau dahulu bekerja, yang harus dirahasiakannya, diancam dengan pidana penjara paling lama sembilan bulan atau pidana denda paling banyak sembilan ribu rupiah. (2)  Kejahatan ini hanya dituntut atas pengaduan pengurus perusahaan itu.      KEJAHATAN TERHADAP KEMERDEKAAN ORANG",tidak-diketahui
,Bab XVIII,Pasal 324,"Barang siapa dengan biaya sendiri atau biaya orang lain menjalankan perniagaan budak atau melakukan perbuatan perniagaan budak atau dengan sengaja turut serta secara langsung at au tidak langsung dalam salah satu perbuatan tersebut di atas, diancam de ngan pidana penjara paling lama dua belas tahun.",tidak-diketahui
,Bab XVIII,Pasal 325,"(1)  Barang siapa sebagai nakoda bekerja atau bertugas di kapal, sedang diketahuinya bahwa kapal itu dipergunakan untuk tujuan pemiagaan Biro Hukum dan Humas Badan Urusan Administrasi Mahkamah Agung-RI /g3/g3  budak, atau dipakai kapal itu untuk perniagaan budak, diancam dengan pidana penjara paling lama dua belas tahun. (2)  Bilamana pengangkutan itu mengakib atkan kematian seorang budak atau lebih, maka nakoda diancam dengan pidana penjara paling lama lima belas tahun.",tidak-diketahui
,Bab XVIII,Pasal 326,"Barang siapa bekerja sebagai awak kapal di sebuah kapal, sedang diketahuinya bahwa kapal itu dipergunakan untuk tujuan atsu keperluan perniagaan budak, atau dengan sukarela tetap berengas setelah mendengar bahwa kapal itu dipergunakan untuk tujuan atau keperluan perniagaan budak, diancam dengan pidana penjara paling lama sembilan tahun.",tidak-diketahui
,Bab XVIII,Pasal 327,"Barang siapa dengan biaya sendiri atau biaya orang lain, secara langsung atau tidak langsung bekerja sama untuk menyewakan, mengangkutkan atau mengasuransikan sebuah kapal, sedang diketahuinya bahwa kapal itu dipergunakan untuk tujuan perniagaan budak, diancam dengan pidana penjara paling lama delapan tahun.",tidak-diketahui
,Bab XVIII,Pasal 328,"Barang siapa membawa pergi seorang dari tempat kediamannya atau tempat tinggalnya sementara dengan maksud untuk menempatkan orang itu secara melawan hukum di bawah kekuasaannya at au kekuasaan orang lain, atau untuk menempatkan dia dalam keadaan sengsara, diancam karena penculikan dengan pidana penjara paling lama dua belas tahun.",penculikan
,Bab XVIII,Pasal 329,"Barang siapa dengan sengaja dan melawa n hukum mengangkut orang ke daerah lain, padahal orang itu telah membuat perjanjian untuk bekerja di suatu tempat tertentu, diancam dengan pidana penjara paling lama tujuh tahun.",tidak-diketahui
,Bab XVIII,Pasal 330,"(1)  Barang siapa dengan sengaja menarik seorang yang belum cukup umur dari kekuasaan yang menurut undang-undang ditentukan atas dirinya, atau dari pengawasan orang yang berwenang untuk itu, diancam dengan pidana penjara paling lama tujuh tahun. (2)  Bilamana dalam hal ini dilakukan tipu muslihat, kekerasan atau ancaman kekerasan, atau bilamana anaknya belum berumur dua belas tahun, dijatuhkan pidana penjara paling lama sembilan tahun.",kekerasan
,Bab XVIII,Pasal 331,"Orang siapa dengan sengaja menyemhunyik an orang yang belum dewasa yang ditarik atau menarik sendiri dari ke kuasaan yang menurut undang-undang Biro Hukum dan Humas Badan Urusan Administrasi Mahkamah Agung-RI /g3/g3  ditentukan atas dirinya. atau dari peng awasan orang yang berwenang untuk itu, atau dengan sengaja menariknya dari pengusutan pejabat kehakiman atau kepolisian diancam dengan penjara paling lama empat tahun, atau jika anak itu berumur di bawah dua belas tahun, dengan pidana penjara paling lama tujuh tahun.",pelanggaran perlindungan anak
,Bab XVIII,Pasal 332,"(1)  Bersalah melarikan wanita diancam dengan pidana penjara; 1. paling lama tujuh tahun, barang siapa membawa pergi seorang wanita yang belum dewasa, tanpa dikehendaki orang tuanya atau walinya tetapi dengan persetujuannya. dengan maksud untuk memastikan penguasaan tezhadap wanita itu, baik di dalam maupun di luar perkawinan; 2.  paling lama sembilan tahun, barang siapa membawa pergi seorang wanita dengan tipu muslihat, kekerasan atau ancaman kekerasan, dengan maksud untuk memastikan penguasaannya terhadap wanita itu, baik di dalam maupun di luar perkawinan. (2)  Penuntutan hanya dilakukan atas pengaduan. (3)  Pengaduan dilakukan: a.  jika wanita ketika dibawa pergi belum dewasa, oleh dia sendiri atau orang lain yang harus member i izin bila dia kawin; b.  jika wanita ketika dibawa pergi sudah dewasa, oleh dia sendiri atau oleh suaminya. (4)  Jika yang membaiva pergi lalu kawin dengan wanita yang dibawa pergi dan terhadap perkawinan itu berlaku aturan aturan Burgerlijk Wetboek, maka tak dapat dijatuhkan pidana sebelum perkawinan itu dinyatakan batal.",kekerasan
,Bab XVIII,Pasal 333,"(1)  Barang siapa dengan sengaja dan me lawan hukum merampas kemerdekaan seseorang, atau meneruskan perarnpasan kemerdekaan yang demikian, diancam dengan pidana penjara paling lama delapan tahun. (2)  Jika perbuatan itu mengakibatkan luka-luka berat maka yang bersalah diancam dengan pidana penjara paling lama sembilan tahun. (3)  Jika mengakibatkan mati diancam dengan pidana penjara paling lama dua belas tahun. (4)  Pidana yang ditentukan dalam pasal ini diterapkan juga bagi orang yang dengan sengaja dan melawan hukum memberi tempat untuk perampasan kemerdekaan.",tidak-diketahui
